taskId,responseTime(ms),sloViolated,decisionTime(ms),memoryUsed(MB),energy(kWh)
sorrir-bft-1753264908289,7,0,7,7.14,1.2620
sorrir-bft-1753264958523,1,0,1,7.06,1.6098
sorrir-bft-1753265079029,2,0,2,7.12,2.4443
sorrir-bft-1753265109132,1,0,1,6.79,2.6527
sorrir-bft-1753265129175,1,0,1,7.10,2.7915
sorrir-bft-1753265149216,1,0,1,6.60,2.9303
sorrir-bft-1753265199396,1,0,1,7.27,3.2778
sorrir-bft-1753265229496,1,0,1,6.87,3.4863
sorrir-bft-1753265249571,0,0,0,7.20,3.6253
sorrir-bft-1753265279637,1,0,1,6.82,3.8335
sorrir-bft-1753265330818,1,0,1,6.55,4.1879
sorrir-bft-1753265360946,0,0,0,7.00,4.3966
sorrir-bft-1753265381017,1,0,1,7.30,4.5355
sorrir-bft-1753265431236,1,0,1,7.07,4.8833
sorrir-bft-1753265461346,2,0,2,6.84,5.0918
sorrir-bft-1753265481421,0,0,0,7.15,5.2308
sorrir-bft-1753265551629,0,0,0,7.06,5.7170
sorrir-bft-1753265601824,0,0,0,7.73,6.0646
sorrir-bft-1753265621895,1,0,1,7.13,6.2036
sorrir-bft-1753265671988,0,0,0,7.70,6.5505
sorrir-bft-1753265822451,0,0,0,7.77,7.5925
sorrir-bft-1753265832474,1,0,1,7.97,7.6619
sorrir-bft-1753265842503,1,0,1,7.31,7.7313
sorrir-bft-1753265902741,0,0,0,7.37,8.1485
sorrir-bft-1753266102044,7,0,7,5.50,0.0722
sorrir-bft-1753266132138,2,0,2,6.17,0.2806
crash-1753266162216,0,1,0,6.10,0.4889
crash-1753266172291,0,1,0,6.28,0.5586
sorrir-bft-1753266212431,1,0,1,6.24,0.8366
crash-1753266222491,0,1,0,6.46,0.9063
sorrir-bft-1753266232523,1,0,1,6.63,0.9757
crash-1753266252647,0,1,0,6.52,1.1151
crash-1753266262675,0,1,0,6.65,1.1845
crash-1753266272743,0,1,0,6.81,1.2543
sorrir-bft-1753266292824,1,0,1,7.11,1.3933
crash-1753266302882,0,1,0,6.44,1.4630
sorrir-bft-1753266353029,0,0,0,7.05,1.8102
sorrir-bft-1753266383084,2,0,2,6.68,2.0184
sorrir-bft-1753266403119,0,0,0,7.01,2.1571
